frame,Red,Red2,Green,LightGreen,Yellow,Blue,Orange,Total
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0
288,0,0,0,1,0,0,0,1
289,0,0,0,1,0,0,0,1
290,0,0,1,1,0,0,0,2
291,0,0,1,1,0,0,0,2
292,0,0,1,1,0,0,0,2
293,0,0,1,1,0,0,0,2
294,0,0,1,1,0,0,0,2
295,0,0,1,1,0,0,0,2
296,0,0,1,1,0,0,0,2
297,0,0,1,1,0,0,0,2
298,0,0,1,1,0,0,0,2
299,0,0,1,1,0,0,0,2
300,0,0,1,1,0,0,0,2
301,0,0,1,1,0,0,0,2
302,0,0,1,1,0,0,0,2
303,0,0,1,1,0,0,0,2
304,0,0,1,1,0,0,0,2
305,0,0,1,1,0,0,0,2
306,0,0,1,1,0,0,0,2
307,0,0,1,1,0,0,0,2
308,0,0,1,1,0,0,0,2
309,0,0,1,1,0,0,0,2
310,0,0,1,1,0,0,0,2
311,0,0,1,1,0,0,0,2
312,0,0,1,1,0,0,0,2
313,0,0,1,1,0,0,0,2
314,0,0,1,1,0,0,0,2
315,0,0,1,1,0,0,0,2
316,0,0,1,1,0,0,0,2
317,0,0,1,1,0,0,0,2
318,0,0,1,1,0,0,0,2
319,0,0,1,1,0,0,0,2
320,0,0,1,1,0,0,0,2
321,0,0,1,1,0,0,0,2
322,0,0,1,1,0,0,0,2
323,0,0,1,1,0,0,0,2
324,0,0,1,1,0,0,0,2
325,0,0,1,1,0,0,0,2
326,0,0,1,1,0,0,0,2
327,0,0,1,1,0,0,0,2
328,0,0,1,1,0,0,0,2
329,0,0,1,1,0,0,0,2
330,0,0,1,1,0,0,0,2
331,0,0,1,1,0,0,0,2
332,0,0,1,1,0,0,0,2
333,0,0,1,1,0,0,0,2
334,0,0,1,1,0,0,0,2
335,0,0,1,1,0,0,0,2
336,0,0,1,1,0,0,0,2
337,0,0,1,1,0,0,0,2
338,0,0,1,1,0,0,0,2
339,0,0,1,1,0,0,0,2
340,0,0,1,1,0,0,0,2
341,0,0,1,1,0,0,0,2
342,0,0,1,1,0,0,0,2
343,0,0,1,1,0,0,0,2
344,0,0,1,1,0,0,0,2
345,0,0,1,1,0,0,0,2
346,0,0,1,1,0,0,0,2
347,0,0,1,1,0,0,0,2
348,0,0,1,1,0,0,0,2
349,0,0,1,1,0,0,0,2
350,0,0,1,1,0,0,0,2
351,0,0,1,1,0,0,0,2
352,0,0,1,1,0,0,0,2
353,0,0,1,1,0,0,0,2
354,0,0,0,1,0,0,0,1
355,0,0,0,1,0,0,0,1
356,0,0,0,1,0,0,0,1
357,0,0,0,1,0,0,0,1
358,0,0,0,1,0,0,0,1
359,0,0,0,1,0,0,0,1
360,1,0,0,1,0,0,0,2
361,1,0,0,1,0,0,0,2
362,1,0,0,1,0,0,0,2
363,1,0,0,1,0,0,0,2
364,1,0,0,1,0,0,0,2
365,1,0,0,1,0,0,0,2
366,1,0,0,1,0,0,0,2
367,1,0,0,1,0,0,0,2
368,1,0,0,1,0,0,0,2
369,1,0,0,1,0,0,0,2
370,1,0,0,1,0,0,0,2
371,1,0,0,1,0,0,0,2
372,1,0,0,1,0,0,0,2
373,1,0,0,1,0,0,0,2
374,1,0,0,1,0,0,0,2
375,1,0,0,1,0,0,0,2
376,1,0,0,1,0,0,0,2
377,1,0,0,1,0,0,0,2
378,1,0,0,1,0,0,0,2
379,1,0,0,1,0,0,0,2
380,1,0,0,1,0,0,0,2
381,1,0,0,1,0,0,0,2
382,1,0,0,1,0,0,0,2
383,1,0,0,1,0,0,0,2
384,1,0,0,1,0,0,0,2
385,1,0,1,1,0,0,0,3
386,1,0,1,1,0,0,0,3
387,1,0,1,1,0,0,0,3
388,1,0,1,1,0,0,0,3
389,1,0,0,1,0,0,0,2
390,1,0,0,1,0,0,0,2
391,1,0,1,1,0,0,0,3
392,1,0,0,1,0,0,0,2
393,1,0,0,1,0,0,0,2
394,1,0,1,1,0,0,0,3
395,1,0,1,1,0,0,0,3
396,1,0,1,1,0,0,0,3
397,1,0,1,1,0,0,0,3
398,1,0,1,1,0,0,0,3
399,1,0,0,1,0,0,0,2
400,1,0,0,1,0,0,0,2
401,1,0,0,1,0,0,0,2
402,1,0,0,1,0,0,0,2
403,1,0,0,1,0,0,0,2
404,1,0,0,1,0,0,0,2
405,1,0,0,1,0,0,0,2
406,1,0,0,1,0,0,0,2
407,1,0,0,1,0,0,0,2
408,1,0,0,1,0,0,0,2
409,1,0,0,1,0,0,0,2
410,1,0,0,1,0,0,0,2
411,1,0,0,1,0,0,0,2
412,1,0,0,0,0,0,0,1
413,1,0,0,0,0,0,0,1
414,1,0,0,0,0,0,0,1
415,1,0,0,0,0,0,0,1
416,1,0,0,0,0,0,0,1
417,1,0,0,0,0,0,0,1
418,1,0,0,0,0,0,0,1
419,1,0,0,0,0,0,0,1
420,1,0,0,0,0,0,0,1
421,1,0,0,0,0,0,0,1
422,1,0,0,0,0,0,0,1
423,1,0,0,0,0,0,0,1
424,1,0,0,0,0,0,0,1
425,1,0,0,0,0,0,0,1
426,1,0,0,0,0,0,0,1
427,1,0,0,0,0,0,0,1
428,1,0,0,0,0,0,0,1
429,1,0,0,0,0,0,0,1
430,1,0,0,0,0,0,0,1
431,1,0,0,0,0,0,0,1
432,1,0,0,0,0,0,0,1
433,1,0,0,0,0,0,0,1
434,1,0,0,0,0,0,0,1
435,1,0,0,0,0,0,0,1
436,1,0,0,0,0,0,0,1
437,1,0,0,0,0,0,0,1
438,1,0,0,0,0,0,0,1
439,1,0,0,0,0,0,0,1
440,1,0,0,0,0,0,0,1
441,1,0,0,0,0,0,0,1
442,1,0,0,0,0,0,0,1
443,1,0,0,0,0,0,0,1
444,1,0,0,0,0,0,0,1
445,1,0,0,0,0,0,0,1
446,1,0,0,0,0,0,0,1
447,1,0,0,0,0,0,0,1
448,1,0,0,0,0,0,0,1
449,1,0,0,0,0,0,0,1
450,1,0,0,0,0,0,0,1
451,1,0,0,0,0,0,0,1
452,1,0,0,0,0,0,0,1
453,1,0,0,0,0,0,0,1
454,1,0,0,0,0,0,0,1
455,1,0,0,0,0,0,0,1
456,1,0,0,0,0,0,0,1
457,1,0,0,0,0,0,0,1
458,1,0,0,0,0,0,0,1
459,1,0,0,0,0,0,0,1
460,1,0,0,0,0,0,0,1
461,1,0,0,0,0,0,0,1
462,1,0,0,0,0,0,0,1
463,1,0,0,0,0,0,0,1
464,1,0,0,0,0,0,0,1
465,1,0,0,0,0,0,0,1
466,1,0,0,0,0,0,0,1
467,1,0,0,0,0,0,0,1
468,1,0,0,0,0,0,0,1
469,1,0,0,0,0,0,0,1
470,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0
518,0,0,0,1,0,0,0,1
519,0,0,1,1,0,0,0,2
520,0,0,1,1,0,0,0,2
521,0,0,1,1,0,0,0,2
522,0,0,1,1,0,0,0,2
523,0,0,1,1,0,0,0,2
524,0,0,1,1,0,0,0,2
525,0,0,1,1,0,0,0,2
526,0,0,1,1,0,0,0,2
527,0,0,1,1,0,0,0,2
528,0,0,1,1,0,0,0,2
529,0,0,1,1,0,0,0,2
530,0,0,1,1,0,0,0,2
531,0,0,1,1,0,0,0,2
532,0,0,1,1,0,0,0,2
533,0,0,1,1,0,0,0,2
534,0,0,1,1,0,0,0,2
535,0,0,1,1,0,0,0,2
536,0,0,1,1,0,0,0,2
537,0,0,1,1,0,0,0,2
538,0,0,1,1,0,0,0,2
539,0,0,1,1,0,0,0,2
540,0,0,1,1,0,0,0,2
541,0,0,1,1,0,0,0,2
542,0,0,1,1,0,0,0,2
543,0,0,1,1,0,0,0,2
544,0,0,1,1,0,0,0,2
545,0,0,1,1,0,0,0,2
546,0,0,1,1,0,0,0,2
547,0,0,1,1,0,0,0,2
548,0,0,1,1,0,0,0,2
549,0,0,1,1,0,0,0,2
550,0,0,1,1,0,0,0,2
551,0,0,1,1,0,0,0,2
552,0,0,1,1,0,0,0,2
553,0,0,1,1,0,0,0,2
554,0,0,1,1,0,0,0,2
555,0,0,1,1,0,0,0,2
556,0,0,1,1,0,0,0,2
557,0,0,1,1,0,0,0,2
558,0,0,1,1,0,0,0,2
559,0,0,1,1,0,0,0,2
560,0,0,1,1,0,0,0,2
561,0,0,1,1,0,0,0,2
562,0,0,1,1,0,0,0,2
563,0,0,1,1,0,0,0,2
564,0,0,1,1,0,0,0,2
565,0,0,1,1,0,0,0,2
566,0,0,1,1,0,0,0,2
567,0,0,1,1,0,0,0,2
568,0,0,1,1,0,0,0,2
569,0,0,1,1,0,0,0,2
570,0,0,1,1,0,0,0,2
571,0,0,1,1,0,0,0,2
572,0,0,1,1,0,0,0,2
573,0,0,1,1,0,0,0,2
574,0,0,1,1,0,0,0,2
575,0,0,1,1,0,0,0,2
576,0,0,1,1,0,0,0,2
577,0,0,1,1,0,0,0,2
578,0,0,1,1,0,0,0,2
579,0,0,1,1,0,0,0,2
580,0,0,2,1,0,0,0,3
581,0,0,2,1,0,0,0,3
582,0,0,2,1,0,0,0,3
583,0,0,2,1,0,0,0,3
584,0,0,2,1,0,0,0,3
585,0,0,2,1,0,0,0,3
586,0,0,2,1,0,0,0,3
587,0,0,2,1,0,0,0,3
588,0,0,2,1,0,0,0,3
589,0,0,2,1,0,0,0,3
590,0,0,2,1,0,0,0,3
591,0,0,2,1,0,0,0,3
592,0,0,2,1,0,0,0,3
593,0,0,2,1,0,0,0,3
594,0,0,2,1,0,0,0,3
595,0,0,2,1,0,0,0,3
596,0,0,2,1,0,0,0,3
597,0,0,2,2,0,0,0,4
598,0,0,2,2,0,0,0,4
599,0,0,2,2,0,0,0,4
600,0,0,2,2,0,0,0,4
601,0,0,2,2,0,0,0,4
602,0,0,1,2,0,0,0,3
603,0,0,1,2,0,0,0,3
604,0,0,1,2,0,0,0,3
605,0,0,1,2,0,0,0,3
606,0,0,1,2,0,0,0,3
607,0,0,1,2,0,0,0,3
608,0,0,2,2,0,0,0,4
609,0,0,2,2,0,0,0,4
610,0,0,2,2,0,0,0,4
611,0,0,2,2,0,0,0,4
612,0,0,2,2,0,0,0,4
613,0,0,2,2,0,0,0,4
614,0,0,2,2,0,0,0,4
615,0,0,2,2,0,0,0,4
616,0,0,2,2,0,0,0,4
617,0,0,2,2,0,0,0,4
618,0,0,2,2,0,0,0,4
619,0,0,2,2,0,0,0,4
620,0,0,2,2,0,0,0,4
621,0,0,2,2,0,0,0,4
622,0,0,2,2,0,0,0,4
623,0,0,2,2,0,0,0,4
624,0,0,2,2,0,0,0,4
625,0,0,2,2,0,0,0,4
626,0,0,2,2,0,0,0,4
627,0,0,2,2,0,0,0,4
628,0,0,2,2,0,0,0,4
629,0,0,2,2,0,0,0,4
